level,count,percent,source
Female,1290,24.358006042296072,UMD
Male,3989,75.32099697885197,UMD
Trans Female (MTF or Male to Female),17,0.32099697885196377,UMD
Male,143946,47.8,Duhram
Female,156919,52.2,Duhram
